horario,approved,backend_reversed,denied,echo,failed,processing,refunded,reversed
06 41,27.0,,1.0,,,,,
06 42,38.0,,4.0,,,,,
06 43,31.0,,2.0,,,,,1.0
06 44,23.0,,2.0,,,,,
06 45,38.0,,4.0,,,,,1.0
06 46,32.0,,5.0,,,,1.0,
06 47,27.0,,2.0,,,,,1.0
06 48,30.0,,6.0,3.0,,,,
06 49,33.0,,4.0,,,,,1.0
06 50,37.0,,3.0,,,,,1.0
06 51,32.0,,6.0,,,,,
06 52,31.0,,4.0,,,,,
06 53,36.0,,4.0,,,,,
06 54,38.0,,8.0,,,,,
06 55,37.0,,5.0,,,,,
06 56,37.0,,9.0,,,,,
06 57,49.0,,3.0,,,,,
06 58,40.0,,6.0,,,,,
06 59,32.0,,5.0,,,,,1.0
07 00,52.0,,4.0,,,,,
07 01,45.0,,7.0,,,,,
07 02,34.0,,6.0,,,,,
07 03,51.0,,5.0,3.0,,,,
07 04,43.0,,6.0,,,,,1.0
07 05,51.0,,3.0,,,,,
07 06,55.0,,3.0,,,,,
07 07,53.0,,11.0,,,,,
07 08,59.0,,7.0,,,,,
07 09,43.0,,8.0,,,,,
07 10,50.0,1.0,1.0,,,,,
07 11,49.0,,15.0,,,,,
07 12,65.0,,11.0,,,,,
07 13,52.0,,7.0,,,,1.0,
07 14,53.0,,7.0,,,,,2.0
07 15,55.0,,5.0,,,,,
07 16,53.0,,5.0,,,,,
07 17,54.0,,4.0,,,,,
07 18,57.0,,4.0,3.0,,,,2.0
07 19,69.0,,4.0,,,,,
07 20,64.0,,2.0,,,,,
07 21,51.0,,10.0,,,,,1.0
07 22,53.0,,7.0,,,,,
07 23,68.0,,10.0,,,,,
07 24,66.0,,16.0,,,,,
07 25,59.0,,8.0,,,,,1.0
07 26,83.0,,13.0,,,,,
07 27,63.0,,7.0,,,,,
07 28,71.0,2.0,7.0,,,,,
07 29,71.0,,6.0,,,,,
07 30,69.0,,10.0,,,,,
07 31,72.0,,7.0,,,,,
07 32,78.0,,9.0,,,,2.0,
07 33,79.0,,7.0,3.0,,,1.0,1.0
07 34,69.0,,11.0,,,,,1.0
07 35,80.0,,13.0,,,,,1.0
07 36,58.0,,13.0,,,,,
07 37,77.0,,11.0,,,,,
07 38,79.0,,8.0,,,,,1.0
07 39,80.0,,3.0,,,,,1.0
07 40,81.0,,10.0,,,,,
07 41,76.0,,8.0,,,,,
07 42,85.0,,4.0,,,,,
07 43,80.0,,13.0,,,,,1.0
07 44,79.0,,8.0,,,,,
07 45,82.0,,12.0,,,,1.0,
07 46,81.0,,8.0,,,,,
07 47,104.0,,8.0,,,,,
07 48,67.0,,11.0,3.0,,,,
07 49,93.0,,12.0,,,,,
07 50,87.0,,11.0,,,,1.0,
07 51,65.0,,13.0,,,,,
07 52,91.0,,17.0,,,,,
07 53,93.0,,6.0,,,,,
07 54,106.0,1.0,9.0,,,,,
07 55,99.0,,15.0,,,,,1.0
07 56,85.0,,20.0,,,,,
07 57,98.0,,18.0,,,,,
07 58,113.0,,15.0,,,,,2.0
07 59,102.0,,12.0,,,,1.0,
08 00,99.0,,22.0,,,,,1.0
08 01,113.0,,10.0,,,,,
08 02,97.0,,13.0,,,,1.0,
08 03,117.0,,7.0,3.0,,,,
08 04,99.0,,10.0,,,,1.0,
08 05,110.0,,19.0,,,,1.0,
08 06,120.0,2.0,15.0,,,,,1.0
08 07,132.0,1.0,17.0,,,,,1.0
08 08,103.0,,20.0,,,,,1.0
08 09,143.0,,11.0,,,,1.0,
08 10,142.0,1.0,18.0,,,,1.0,1.0
08 11,134.0,,15.0,,,,1.0,
08 12,152.0,,22.0,,,,2.0,
08 13,132.0,,20.0,,,,1.0,
08 14,148.0,,23.0,,,,,1.0
08 15,150.0,,15.0,,,,,1.0
08 16,141.0,,13.0,,,,,
08 17,150.0,,22.0,3.0,,,,
08 18,154.0,,14.0,,,,1.0,
08 19,137.0,,15.0,,,,,
08 20,139.0,,25.0,,,,1.0,3.0
08 21,145.0,,15.0,,,,2.0,1.0
08 22,182.0,,15.0,,,,1.0,1.0
08 23,163.0,,13.0,,,,1.0,2.0
08 24,183.0,,17.0,,,,2.0,
08 25,151.0,,23.0,,,,1.0,1.0
08 26,164.0,,10.0,,,,1.0,
08 27,147.0,,13.0,,,,,2.0
08 28,153.0,,21.0,,,,1.0,
08 29,171.0,,20.0,,,,2.0,
08 30,179.0,,20.0,,,,1.0,3.0
08 31,198.0,,25.0,,,,1.0,
08 32,206.0,,19.0,,,,,1.0
08 33,181.0,,21.0,3.0,,,,3.0
08 34,173.0,,22.0,,,,,3.0
08 35,173.0,,21.0,,,,,1.0
08 36,176.0,,13.0,,,,,1.0
08 37,207.0,,14.0,,,,,1.0
08 38,221.0,1.0,24.0,,,,,1.0
08 39,173.0,,23.0,,,,1.0,1.0
08 40,192.0,,18.0,,,,1.0,1.0
08 41,189.0,,22.0,,,,1.0,2.0
08 42,215.0,,26.0,,,,,1.0
08 43,204.0,,21.0,,,,,
08 44,207.0,1.0,18.0,,,,,
08 45,192.0,,29.0,,,,,1.0
08 46,195.0,,25.0,,,,,3.0
08 47,213.0,,26.0,,,,1.0,
08 48,229.0,,25.0,3.0,,,2.0,1.0
08 49,214.0,,30.0,3.0,,,1.0,
08 50,222.0,,25.0,,,,1.0,3.0
08 51,231.0,,29.0,,,,2.0,
08 52,199.0,1.0,34.0,,,,,4.0
08 53,246.0,,24.0,,,,1.0,2.0
08 54,227.0,,38.0,,,,,
08 55,223.0,,22.0,3.0,,,1.0,1.0
08 56,220.0,,16.0,,,,1.0,
08 57,219.0,,21.0,,,,,
08 58,226.0,,20.0,,,,,1.0
08 59,232.0,,22.0,,,,,
09 00,241.0,,26.0,,,,,
09 01,242.0,,25.0,,,,,
09 02,223.0,,20.0,,,,2.0,1.0
09 03,255.0,,25.0,,,,,1.0
09 04,244.0,,27.0,,,,,2.0
09 05,247.0,,31.0,,,,2.0,2.0
09 06,274.0,,32.0,,,,,
09 07,256.0,,24.0,,,,1.0,2.0
09 08,253.0,,37.0,,,,,1.0
09 09,242.0,,21.0,,,,,1.0
09 10,281.0,,25.0,,,,,
09 11,220.0,,26.0,3.0,,,2.0,1.0
09 12,246.0,,27.0,,,,,1.0
09 13,270.0,,35.0,,,,,2.0
09 14,272.0,,33.0,,,,,
09 15,249.0,,39.0,,,,,1.0
09 16,276.0,,37.0,,,,,2.0
09 17,271.0,,44.0,,,,,
09 18,297.0,,25.0,,,,,1.0
09 19,284.0,,25.0,,,,2.0,2.0
09 20,282.0,,30.0,,,,,1.0
09 21,323.0,,36.0,,,,,1.0
09 22,287.0,,24.0,,,,1.0,
09 23,292.0,,41.0,,,,,1.0
09 24,282.0,,30.0,,,,1.0,1.0
09 25,284.0,,28.0,3.0,,,,3.0
09 26,306.0,,26.0,,,,,2.0
09 27,312.0,,37.0,,,,,
09 28,291.0,,32.0,,,,,3.0
09 29,296.0,,34.0,,,,,3.0
09 30,310.0,,42.0,,,,,
09 31,272.0,,41.0,,,,1.0,1.0
09 32,308.0,,41.0,,,,,2.0
09 33,291.0,,54.0,,,,2.0,1.0
09 34,317.0,,33.0,,,,2.0,2.0
09 35,279.0,1.0,44.0,,,,,
09 36,323.0,,51.0,,,,,2.0
09 37,311.0,,43.0,,,,,2.0
09 38,299.0,1.0,43.0,,,,2.0,1.0
09 39,334.0,,38.0,,,,,4.0
09 40,336.0,,28.0,3.0,,,,2.0
09 41,311.0,,24.0,,,,3.0,2.0
09 42,342.0,,46.0,,,,3.0,
09 43,318.0,,31.0,,,,1.0,1.0
09 44,291.0,,37.0,,,,1.0,3.0
09 45,322.0,1.0,45.0,,,,2.0,3.0
09 46,317.0,,27.0,,,,,2.0
09 47,340.0,,44.0,,,,,3.0
09 48,345.0,,38.0,,,,2.0,4.0
09 49,300.0,,31.0,,,,5.0,3.0
09 50,330.0,,39.0,,,,3.0,1.0
09 51,330.0,,36.0,,,,1.0,2.0
09 52,325.0,,33.0,,,,1.0,1.0
09 53,364.0,,29.0,,,,,1.0
09 54,330.0,1.0,34.0,,,,,2.0
09 55,330.0,,40.0,3.0,,,,1.0
09 56,399.0,,26.0,,,,2.0,
09 57,319.0,,45.0,,,,,1.0
09 58,348.0,,37.0,,,,2.0,
09 59,347.0,,33.0,,,,1.0,1.0
10 00,345.0,,34.0,,,,2.0,1.0
10 01,332.0,,28.0,,,,,2.0
10 02,344.0,,30.0,,,,1.0,4.0
10 03,330.0,1.0,46.0,,,,1.0,2.0
10 04,358.0,2.0,48.0,,,,1.0,3.0
10 05,342.0,,36.0,,,,1.0,5.0
10 06,320.0,,35.0,,,,1.0,1.0
10 07,341.0,,42.0,,,,,1.0
10 08,347.0,1.0,46.0,,,,2.0,4.0
10 09,325.0,1.0,37.0,,,,,6.0
10 10,378.0,1.0,38.0,3.0,,,2.0,2.0
10 11,333.0,,32.0,,,,,
10 12,352.0,,30.0,,,,,1.0
10 13,329.0,,50.0,,,,1.0,2.0
10 14,370.0,,37.0,,,,2.0,3.0
10 15,367.0,2.0,40.0,,,,1.0,
10 16,336.0,,40.0,,,,1.0,1.0
10 17,331.0,,35.0,,,,2.0,3.0
10 18,352.0,,51.0,,,,1.0,3.0
10 19,344.0,,51.0,,,,2.0,3.0
10 20,341.0,,55.0,,,,1.0,3.0
10 21,348.0,,51.0,,,,1.0,4.0
10 22,339.0,,42.0,,,,2.0,4.0
10 23,356.0,,41.0,,,,1.0,2.0
10 24,354.0,,33.0,,,,1.0,
10 25,362.0,,44.0,3.0,,,1.0,1.0
10 26,372.0,,53.0,3.0,,,2.0,1.0
10 27,339.0,,47.0,,,,,
10 28,380.0,2.0,46.0,,,,,2.0
10 29,351.0,,61.0,,,,1.0,1.0
10 30,331.0,,49.0,,,,1.0,1.0
10 31,370.0,,52.0,,,,2.0,2.0
10 32,361.0,1.0,35.0,,,,,1.0
10 33,370.0,1.0,42.0,,,,1.0,2.0
10 34,386.0,1.0,37.0,,,,2.0,2.0
10 35,347.0,,42.0,,,,,1.0
10 36,373.0,,33.0,,,,1.0,2.0
10 37,376.0,,53.0,3.0,,,1.0,4.0
10 38,360.0,,34.0,,,,,
10 39,345.0,1.0,38.0,,,,,3.0
10 40,361.0,3.0,31.0,,,,1.0,
10 41,370.0,,26.0,,,,,2.0
10 42,332.0,2.0,45.0,,,,2.0,4.0
10 43,393.0,1.0,41.0,,,,1.0,
10 44,349.0,,41.0,,,,,4.0
10 45,362.0,1.0,34.0,,,,,1.0
10 46,341.0,,38.0,,,,,4.0
10 47,369.0,,44.0,,,,1.0,3.0
10 48,385.0,,44.0,,,,,
10 49,343.0,,32.0,,,,3.0,3.0
10 50,381.0,,36.0,,,,,2.0
10 51,369.0,,55.0,,,,2.0,1.0
10 52,348.0,,50.0,,,,2.0,2.0
10 53,367.0,,49.0,3.0,,,,2.0
10 54,394.0,,41.0,,,,2.0,6.0
10 55,408.0,,41.0,,,,1.0,3.0
10 56,373.0,,46.0,,,,,1.0
10 57,372.0,1.0,38.0,,,,1.0,2.0
10 58,360.0,,32.0,,,,3.0,3.0
